"4","2193320231","Tue Jun 16 08:17:49 PDT 2009","NO_QUERY","SteveRal","getting the movie crybaby for someone that wants it for some unknown reason "
"4","2193320256","Tue Jun 16 08:17:49 PDT 2009","NO_QUERY","i_am_a_shark","@pepppapig :L u wish! this time the mara SUMMMMMMMMMMMMMMMMER!!!!!!!!!!!!!! yay "
"4","2193320305","Tue Jun 16 08:17:50 PDT 2009","NO_QUERY","Kendallkelley1","I got my phone back "
"4","2193320308","Tue Jun 16 08:17:50 PDT 2009","NO_QUERY","Sourcewithnme","@EarthFire Good morning to you too Honey!!!!! Huggs "
"4","2193320445","Tue Jun 16 08:17:50 PDT 2009","NO_QUERY","anbanan313","Good morning "
"4","2193320486","Tue Jun 16 08:17:51 PDT 2009","NO_QUERY","MysticMiggins","@niplag working on paperwork to purchase our first home.  Yay "
"4","2193320648","Tue Jun 16 08:17:51 PDT 2009","NO_QUERY","thetori","Who wants to go see third eye blind with me in san jose on thursday  drinks and amazing/free music!"
"4","2193320665","Tue Jun 16 08:17:52 PDT 2009","NO_QUERY","W0AHitsNiKKi19","One day down, one day to go!  last of finals and skool tomorrow! Studying. Textt if ya want (: Mitch &lt;333"
"4","2193320832","Tue Jun 16 08:17:52 PDT 2009","NO_QUERY","jazzyfbabyyy","@StevenLeFlore..sorry im so late but i have to admit ya city is getting up there on my favorite but ill be there in July 4 a month!!! "
"4","2193320856","Tue Jun 16 08:17:53 PDT 2009","NO_QUERY","frenchalps","Nice touch from www.wiggle.co.uk - complimentary bag of Haribo in my delivery of hiking clothes "
"4","2193320864","Tue Jun 16 08:17:53 PDT 2009","NO_QUERY","Karen230683","@WeeMagic well yes kind of lmao  @jason_2008 ok when he is next on we shall ignore him"
"4","2193320901","Tue Jun 16 08:17:53 PDT 2009","NO_QUERY","tiarala","It's a Blaqk Audio (waves at @shyboyswin) day today, methinks. So exciting that they're working on new material!! "
"4","2193320910","Tue Jun 16 08:17:53 PDT 2009","NO_QUERY","Suzika","@amyraelle cannot wait to see "
"4","2193321063","Tue Jun 16 08:17:54 PDT 2009","NO_QUERY","hustlers2210","Lol thank "
"4","2193321146","Tue Jun 16 08:17:54 PDT 2009","NO_QUERY","promodiva","@goaliemom31 awesome photo - thanks for sharing that! "
"4","2193321310","Tue Jun 16 08:17:55 PDT 2009","NO_QUERY","desha88","trying to recover from my adventures with vodka and wii tennis.... good times "
"4","2193321363","Tue Jun 16 08:17:55 PDT 2009","NO_QUERY","bekahboo3","Seriously, Germany? If it's illegal to have any sort of swastika symbol, why are you putting together a production of The Producers? "
